cena	Powierzchnia w m2	Liczba pokoi	Liczba pięter w budynku	Piętro
313000	49	2	4	3
277425	40	2	5	1
360237	59	3	15	parter
214171	35	2	5	parter
460449	58	3	3	1
1366410	140	1	4	parter
399000	87	4	2	parter
335988	49	2	7	1
349000	54	2	2	parter
274764	44	2	14	7
368359	60	3	15	3
525000	176	4	3	NaN
850000	225	4	3	NaN
292175	45	2	15	5
340000	63	2	4	1
288000	38	2	4	parter
320000	71	3	4	4
339520	54	3	2	2
389196	68	3	6	5
615000	153	5	2	NaN
218000	39	1	5	2
639000	120	5	2	NaN
485000	65	2	3	3
710000	189	6	2	NaN
350000	60	3	4	2
299000	44	2	2	1
357200	47	2	5	parter
262472	46	3	5	3
329000	51	2	3	parter
949999	200	6	2	NaN
204450	43	2	5	3
696198	112	2	4	4
325000	130	3	1	parter
250000	38	2	10	6
314000	63	3	4	4
450000	75	2	2	2
294906	42	2	4	3
390000	68	3	2	2
627000	95	4	5	5
285000	39	2	5	2
262472	46	3	5	3
467000	81	4	3	1
185232	36	2	5	parter
798000	296	6	2	NaN
420000	95	3	4	3
899000	206	7	NaN	NaN
399000	61	3	4	1
351120	41	2	5	4
214109	29	1	5	2
277039	41	2	4	1
211750	143	4	1	NaN
141300	46	2	1	parter
308756	49	2	15	9
324686	55	2	15	3
273000	40	2	5	4
449000	111	4	2	NaN
380000	49	3	4	3
410665	71	3	15	2
256872	45	3	5	1
710000	120	4	1	parter
858000	120	5	3	3
400000	81	4	NaN	parter
399000	69	3	2	1
349332	54	3	NaN	parter
266448	47	3	5	1
255976	45	3	4	parter
699000	154	5	2	NaN
290970	48	2	5	parter
330840	55	3	8	1
392607	59	4	7	5
380000	67	3	4	3
904041	100	3	5	parter
274764	44	2	14	7
302176	45	2	5	2
404965	73	3	3	2
329900	97	4	4	4
695303	48	2	4	3
344152	67	3	2	parter
650000	161	5	1	NaN
127900	36	2	2	2
